#{"t_start": 1763562762.375329, "env_id": "None"}
r,l,t
-55.91972,500,781.34264
-103.27551,500,781.342647
-98.48015,500,794.23159
-43.934055,500,794.231641
-156.2288,500,794.231654
-125.13342,500,794.231662
-35.48666,500,794.23167
-91.4953,500,794.231678
-29.294012,500,795.47921
-31.846521,500,795.479262
-223.9437,500,795.479274
-24.73928,500,795.479286
-50.343063,500,795.479295
-123.23815,500,795.479302
-56.512516,500,808.673562
-84.307846,500,808.673613
-194.88873,500,808.673626
-98.471954,500,808.673635
-90.96653,500,808.673642
-63.300613,500,808.67365
-160.52531,500,809.938315
-10.6456585,500,809.938367
-172.78815,500,809.938379
-112.29098,500,809.938388
-49.71806,500,809.938395
-148.59996,500,809.938402
-209.6017,500,823.718754
-63.053646,500,823.718806
-6.6549234,500,823.718822
-42.328316,500,823.718831
-30.31334,500,823.718839
-7.4665065,500,823.718846
-8.392547,500,824.975761
-85.962975,500,824.975819
-72.88428,500,824.975835
-89.276,500,824.975844
-45.073017,500,824.975851
-112.152374,500,824.975858
-105.90435,500,838.09946
-96.072975,500,838.099502
-11.78451,500,838.099514
-110.17242,500,838.099523
-212.10226,500,838.09953
-23.560772,500,838.099537
-186.0629,500,839.367997
-578.553,500,839.368046
-23.961494,500,839.368062
-63.37515,500,839.36807
-19.358671,500,839.368077
-107.116455,500,839.368084
-157.75938,500,852.711371
-59.396847,500,852.711425
-198.8174,500,852.711437
-69.904755,500,852.711446
-237.30267,500,852.711453
-262.49564,500,852.71146
-243.55032,500,853.970862
-55.704628,500,853.970917
-73.69445,500,853.970935
-86.65381,500,853.970943
-201.87924,500,853.970951
-11.413073,500,853.970958
-159.6236,500,866.980944
-142.93771,500,866.980998
-134.27582,500,866.981011
-31.889177,500,866.981019
-42.70635,500,866.981026
-69.49674,500,866.981033
-66.24097,500,868.250745
-102.88186,500,868.250803
-54.383038,500,868.250816
-110.405876,500,868.250825
-162.72997,500,868.250832
-38.352432,500,868.250839
-38.918358,500,881.799994
-24.100557,500,881.80079
-354.1403,500,881.800839
-99.21837,500,881.80085
-15.19698,500,881.800858
-183.9084,500,881.800865
-22.816622,500,883.062506
-0.29947367,500,883.062561
-200.47807,500,883.062574
-80.10884,500,883.062582
-126.51681,500,883.06259
-145.70055,500,883.062597
-85.77351,500,896.958302
-72.30427,500,896.959091
-106.869934,500,896.95914
-107.761406,500,896.959149
-51.345554,500,896.959156
-121.33387,500,896.959163
-154.72443,500,898.235218
-376.84912,500,898.235272
-85.05371,500,898.235285
-9.104395,500,898.235294
