#{"t_start": 1763848939.568932, "env_id": "None"}
r,l,t
-72.671875,500,118.43334
-54.563606,500,118.434269
-66.623856,500,118.434286
-34.85194,500,118.434298
-48.72942,500,118.434305
-53.027485,500,118.434312
-74.05115,500,119.865
-133.4622,500,119.865054
-39.99561,500,119.865067
-52.78538,500,119.865075
-62.780403,500,119.865082
-67.25083,500,119.86509
-65.22173,500,121.159657
-56.452995,500,121.159707
-48.643143,500,121.159719
-64.18335,500,121.159727
-65.46641,500,121.159734
-101.5102,500,121.159741
-42.595314,500,122.563647
-62.094128,500,122.563701
-72.04809,500,122.563713
-42.51748,500,122.563721
-78.88032,500,122.563729
-30.282162,500,122.563736
-47.844322,500,123.814958
-27.685263,500,123.815002
-54.602818,500,123.815018
-159.33699,500,123.815027
-33.313053,500,123.815034
-57.641148,500,123.815041
-110.90408,500,125.21487
-22.61328,500,125.21492
-39.68773,500,125.214933
-70.682014,500,125.214941
-54.52291,500,125.214952
-42.14839,500,125.214959
-26.752823,500,126.456794
-109.516655,500,126.456843
-23.42572,500,126.456856
-26.30181,500,126.456864
-51.741684,500,126.456871
-63.08894,500,126.456879
-45.500748,500,127.835295
-12.681439,500,127.835345
-56.228767,500,127.83536
-84.15484,500,127.835368
-28.560183,500,127.835379
-109.837906,500,127.835386
-17.485683,500,129.074444
-11.668892,500,129.074492
-33.90702,500,129.074502
-41.924744,500,129.07451
-32.47939,500,129.074517
-18.639849,500,129.074524
-118.258385,500,130.470759
-33.353313,500,130.470807
-27.6292,500,130.470819
-114.48153,500,130.470828
-95.91397,500,130.470835
-36.47006,500,130.470842
-128.82814,500,131.715498
-46.49144,500,131.715546
-24.162336,500,131.715558
-15.009976,500,131.715567
-25.048002,500,131.715574
-15.315586,500,131.71558
-8.131919,500,133.111698
-18.765686,500,133.111749
-2.54446,500,133.111761
-126.828476,500,133.11177
-14.587487,500,133.111778
-9.407595,500,133.111785
-0.94438803,500,134.357068
-8.916601,500,134.357127
-3.8343854,500,134.357141
-52.43028,500,134.35715
-33.31713,500,134.357158
-65.08662,500,134.357165
-71.72317,500,135.75359
-30.586048,500,135.753641
-104.78857,500,135.753653
-24.494432,500,135.753664
-43.14875,500,135.753672
-24.86562,500,135.753679
-62.839928,500,137.001782
-20.149992,500,137.001834
-2.8058426,500,137.001846
-68.871925,500,137.001854
-82.57165,500,137.001864
3.2669678,500,137.001871
4.0459023,500,138.374996
-73.93467,500,138.375046
14.36513,500,138.375058
-29.038599,500,138.375067
13.953084,500,138.375075
-71.50813,500,138.375082
-16.302462,500,139.61673
-35.249752,500,139.616781
-55.019245,500,139.616793
-3.1474626,500,139.616802
-37.584507,500,139.61681
-0.82992464,500,139.616817
-82.52933,500,141.002986
-15.181787,500,141.003038
-45.74876,500,141.003051
2.5274615,500,141.003059
-15.693355,500,141.003067
-69.091064,500,141.003074
-6.738918,500,142.271676
-1.1749007,500,142.271727
-53.948692,500,142.271743
-64.6117,500,142.271772
-27.86133,500,142.271779
-22.10795,500,142.271786
9.319862,500,143.675359
-15.465288,500,143.675404
-25.88451,500,143.675414
-0.72484374,500,143.675421
8.531777,500,143.675428
-27.051748,500,143.675434
-4.712375,500,144.915486
9.49525,500,144.915526
-25.933638,500,144.915535
-71.33408,500,144.915543
8.922699,500,144.915549
17.886326,500,144.915555
-10.618178,500,146.29365
-61.814762,500,146.293696
0.16649431,500,146.29371
33.977352,500,146.293718
6.957815,500,146.293725
-17.371647,500,146.293731
-2.5411959,500,147.524941
40.078575,500,147.524989
-18.53055,500,147.525005
-87.24391,500,147.525012
-12.169609,500,147.525019
-18.27914,500,147.525025
3.1441116,500,148.906558
-8.810041,500,148.906605
-162.9963,500,148.906618
18.049574,500,148.906625
5.363575,500,148.906632
-63.32917,500,148.906638
14.647267,500,150.144274
-12.301632,500,150.144322
2.8136246,500,150.144335
-5.6512527,500,150.144343
-92.00689,500,150.144349
-5.3061414,500,150.144355
-8.500874,500,151.506784
-63.42711,500,151.506827
20.597075,500,151.506841
18.650654,500,151.506848
-31.57506,500,151.506855
-12.835054,500,151.506862
16.56093,500,152.744662
-53.067867,500,152.744709
-29.320408,500,152.744722
-7.931152,500,152.744729
2.5287964,500,152.744736
-37.115948,500,152.744743
-22.334581,500,154.125766
-73.51961,500,154.125812
32.731377,500,154.125823
-99.03298,500,154.12583
7.571761,500,154.125837
20.722763,500,154.125843
-6.2169833,500,155.358596
31.913406,500,155.358642
-11.799228,500,155.358652
-1.9123533,500,155.358659
14.3698845,500,155.358669
-120.90012,500,155.358675
42.013172,500,156.730733
-25.186255,500,156.73078
-40.277454,500,156.730791
-2.5317078,500,156.730802
28.76526,500,156.730809
22.769749,500,156.730815
-181.79546,500,157.97054
-33.301304,500,157.970582
-5.804015,500,157.970592
-0.34445423,500,157.970599
66.781525,500,157.970606
-2.7039511,500,157.970612
27.882626,500,159.349388
9.056014,500,159.349431
-55.886127,500,159.349445
-28.366005,500,159.349453
-23.701511,500,159.349459
-22.402195,500,159.349465
23.419844,500,160.581138
-86.8201,500,160.581179
5.7793536,500,160.581189
-23.210083,500,160.581196
41.36664,500,160.581203
33.2483,500,160.581209
1.5268396,500,161.951192
-80.549904,500,161.951235
14.317486,500,161.951246
14.838335,500,161.951253
-9.316814,500,161.95126
13.341717,500,161.951267
-4.0959845,500,163.182925
16.88263,500,163.182977
20.985487,500,163.18299
1.3441283,500,163.182999
16.52317,500,163.183006
-51.995964,500,163.183013
9.392015,500,164.563805
3.3468978,500,164.563863
4.1449547,500,164.563875
78.56722,500,164.563883
-118.58451,500,164.56389
1.8860838,500,164.563897
-310.46786,500,165.807416
-57.275253,500,165.807472
42.840725,500,165.807484
20.047262,500,165.807493
7.368186,500,165.8075
37.69276,500,165.807507
-0.81271064,500,167.177337
-129.67557,500,167.177385
-24.08087,500,167.177398
19.637987,500,167.177407
20.334785,500,167.177414
-7.694836,500,167.177421
-72.27687,500,168.417841
-9.56763,500,168.417889
-47.704193,500,168.417901
-24.559326,500,168.417909
-48.584816,500,168.417917
31.140673,500,168.417923
-1.827496,500,169.808494
-63.047417,500,169.808544
-23.81165,500,169.808556
23.408785,500,169.808564
-6.333188,500,169.808571
47.336815,500,169.808578
20.742607,500,171.050939
-0.34873047,500,171.050985
-130.59445,500,171.050997
40.738758,500,171.051005
50.945724,500,171.051013
9.3082905,500,171.05102
21.09649,500,172.29365
55.73064,500,172.293698
53.052074,500,172.293709
-75.17499,500,172.293718
-78.46892,500,172.293729
32.83617,500,172.293736
21.889566,500,173.670882
-5.466952,500,173.670932
46.76979,500,173.670948
-49.667747,500,173.670956
-19.520403,500,173.670964
-43.922462,500,173.670971
22.725166,500,174.903364
-60.321945,500,174.903408
32.987686,500,174.903421
-17.218416,500,174.903429
-40.86467,500,174.903437
24.378113,500,174.903443
-9.203346,500,176.292695
-32.419228,500,176.292746
-11.615721,500,176.292761
-7.0199385,500,176.292781
-9.602827,500,176.292788
29.771936,500,176.292795
-41.5584,500,177.519804
-24.675266,500,177.51985
-23.681038,500,177.519861
-27.391594,500,177.519869
27.844486,500,177.519875
-43.22979,500,177.519882
-7.839386,500,178.888814
57.04737,500,178.888859
-23.59347,500,178.888869
49.503796,500,178.888876
-31.742981,500,178.888883
39.23039,500,178.888889
-87.54148,500,180.127439
33.875748,500,180.127483
14.618037,500,180.127496
20.608618,500,180.127504
50.814777,500,180.127515
50.407883,500,180.127522
19.867058,500,181.502973
80.75293,500,181.503022
64.2282,500,181.503033
39.84936,500,181.503041
-13.196536,500,181.503048
61.616066,500,181.503054
46.006866,500,182.736273
-3.1093261,500,182.736316
43.259438,500,182.736327
-0.9185992,500,182.736336
62.151695,500,182.736343
30.166126,500,182.73635
57.986732,500,184.115489
35.330303,500,184.115541
-21.742365,500,184.115551
-0.5100441,500,184.115558
65.0441,500,184.115565
69.33115,500,184.115571
60.007122,500,185.352806
18.315002,500,185.352851
38.404346,500,185.352862
36.528336,500,185.352869
-40.48061,500,185.352876
60.704838,500,185.352882
-38.11979,500,186.734766
4.4012814,500,186.734811
50.144882,500,186.734823
37.239666,500,186.734831
20.039812,500,186.734837
84.42057,500,186.734844
43.83757,500,187.955147
66.3357,500,187.955192
45.99121,500,187.955202
30.243702,500,187.955209
43.07004,500,187.955215
-147.84605,500,187.955221
75.16117,500,189.334226
10.794181,500,189.334276
7.8490167,500,189.334287
55.53732,500,189.334294
59.70299,500,189.334301
83.09237,500,189.334307
79.6167,500,190.567914
52.264374,500,190.567957
62.212284,500,190.56797
41.47563,500,190.567978
47.308887,500,190.567985
48.55159,500,190.567991
44.329563,500,191.938685
52.77198,500,191.938734
31.07036,500,191.938749
51.399197,500,191.938757
38.978596,500,191.938767
57.64756,500,191.938773
35.44158,500,193.165296
-109.988045,500,193.165347
49.7063,500,193.16536
-89.89119,500,193.165369
73.80845,500,193.165377
-2.7118974,500,193.165385
2.5629637,500,194.547358
86.85306,500,194.54741
6.810255,500,194.547422
70.71834,500,194.547431
-3.5019393,500,194.547439
9.057352,500,194.547446
14.9561405,500,195.778061
86.67797,500,195.778112
29.24318,500,195.778127
9.957294,500,195.778135
49.4767,500,195.778142
4.8600173,500,195.77815
-391.10602,500,197.15244
3.5403154,500,197.152489
39.348915,500,197.152501
62.782684,500,197.152509
75.72901,500,197.152516
48.805218,500,197.152524
25.245306,500,198.387335
65.763405,500,198.387389
32.04446,500,198.387401
46.502197,500,198.387409
13.924021,500,198.387417
-63.179863,500,198.387424
46.523758,500,199.753208
76.284515,500,199.753259
57.490265,500,199.753271
67.791595,500,199.753284
80.2652,500,199.753291
78.236534,500,199.753298
-280.7182,500,200.98589
34.538486,500,200.985946
6.1021795,500,200.985959
63.184334,500,200.985968
54.812817,500,200.985978
67.98161,500,200.985985
23.502264,500,202.36375
62.50276,500,202.363804
2.8616421,500,202.363816
19.84545,500,202.363825
57.30786,500,202.363832
86.31492,500,202.363839
63.106987,500,203.587874
102.50516,500,203.587926
-20.819128,500,203.587938
93.60476,500,203.587947
57.5491,500,203.587955
84.314964,500,203.587961
64.61126,500,204.963876
101.70507,500,204.963923
30.678534,500,204.963936
59.351723,500,204.963945
14.593391,500,204.963952
45.396687,500,204.963959
14.093907,500,206.190422
104.34118,500,206.190474
63.6398,500,206.190488
30.536882,500,206.190496
76.673546,500,206.190503
66.33493,500,206.19051
-8.082202,500,207.567607
37.799248,500,207.567656
81.37862,500,207.56767
47.885635,500,207.567679
